"ID","species","treatment","experiment","size_female_parent","size_male_parent","carcass_weight","n_eggs","average_egg_length","average_egg_width"
80,"Pus","control",2,4.747,4.263,19.45,57,1.9491,1.0216
81,"Pus","silenced",2,4.933,4.816,20.83,72,1.8595,1.0188
82,"Pus","silenced",2,4.849,4.894,21.14,65,1.926,1.0507
83,"Ves","control",1,4.081,4.159,19.47,25,2.2042,1.1594
84,"Ves","control",1,3.699,4.113,19.9,26,2.2677,1.2352
85,"Ves","control",1,3.736,3.941,19.41,18,2.3616,1.2862
86,"Ves","control",1,3.614,4.319,20.56,26,2.398444444,1.334444444
87,"Ves","control",1,4.26,3.765,19.49,22,2.3979,1.2447
88,"Ves","control",1,4.056,4.161,22.87,40,2.3498,1.2817
89,"Ves","control",1,4.122,3.97,22.97,37,2.533,1.30275
90,"Ves","control",1,4.241,3.786,22.75,33,2.3642,1.2986
91,"Ves","control",1,4.45,4.121,22.04,45,2.4712,1.218
92,"Ves","control",1,4.239,4.076,22.69,42,2.7532,1.2361
93,"Ves","silenced",1,3.949,4.081,20.96,30,2.39,1.223666667
94,"Ves","silenced",1,4.177,4.227,20.24,44,2.479,1.2984
95,"Ves","silenced",1,4.151,4.273,21.67,19,2.187,1.2096
96,"Ves","silenced",1,4.044,4.17,22.26,7,2.168857143,1.092714286
97,"Ves","silenced",1,4.189,4.093,19.56,10,2.1157,1.0746
98,"Ves","silenced",1,3.612,4.546,20.05,8,2.306333333,1.256666667
99,"Ves","control",2,3.856,3.929,19.01,20,2.0913,1.0499
100,"Ves","silenced",2,4.128,4.436,17.75,18,2.0264,1.0669
101,"Ves","silenced",2,3.987,4.289,18.6,21,1.9919,1.0488
102,"Ves","control",2,4.193,4.303,18.45,15,1.9497,1.0534
103,"Ves","silenced",2,4.286,4.149,18.66,27,2.0038,1.0462
104,"Ves","silenced",2,4.377,4.155,19.46,25,1.9874,1.0446
105,"Ves","silenced",2,4.149,3.751,18.45,15,1.9917,1.078
106,"Ves","control",2,3.901,4.326,19.76,30,2.0873,1.0778
107,"Ves","silenced",2,3.879,4.152,19.68,21,2.0045,1.0607
108,"Ves","silenced",2,3.965,3.882,19.66,35,2.0279,1.0905
109,"Ves","control",2,4.189,4.08,21.04,46,2.0841,1.0359
110,"Ves","control",2,3.701,4.306,18.37,42,1.9997,1.0756
111,"Ves","silenced",2,3.75,3.32,22.03,34,2.0078,1.0705
112,"Ves","control",2,3.932,3.695,18.44,46,2.0524,1.0701
113,"Ves","silenced",2,3.515,4.194,20.56,37,1.8659,1.0206
114,"Ves","control",2,3.572,3.544,21.67,39,2.0765,1.1081
115,"Ves","control",2,3.73,4.066,21.68,42,2.0599,1.0827
116,"Ves","silenced",2,4.133,4.176,22.55,13,2.022,1.0892
117,"Ves","silenced",2,3.835,4.11,20.48,38,1.8981,1.0424
118,"Ves","control",2,4.199,4.254,19.93,46,2.0093,1.0528
